POCO;CADASTRO;OPERADOR;POCO_OPERADOR;ESTADO;BACIA;BLOCO;SIG_CAMPO;CAMPO;TERRA_MAR;POCO_POS_ANP;TIPO;CATEGORIA;RECLASSIFICACAO;SITUACAO;INICIO;TERMINO;CONCLUSAO;LATITUDE_BASE_4C;LONGITUDE_BASE_4C;LATITUDE_BASE_DD;LONGITUDE_BASE_DD;DATUM_HORIZONTAL;TIPO_DE_COORDENADA_DE_BASE;DIRECAO;PROFUNDIDADE_VERTICAL_M;PROFUNDIDADE_SONDADOR_M;PROFUNDIDADE_MEDIDA_M;REFERENCIA_DE_PROFUNDIDADE;MESA_ROTATIVA;COTA_ALTIMETRICA_M;LAMINA_D_AGUA_M;DATUM_VERTICAL;UNIDADE_ESTRATIGRAFICA;GEOLOGIA_GRUPO_FINAL;GEOLOGIA_FORMACAO_FINAL;GEOLOGIA_MEMBRO_FINAL;CDPE;AGP;PC;PAG;PERFIS_CONVENCIONAIS;DURANTE_PERFURACAO;PERFIS_DIGITAIS;PERFIS_PROCESSADOS;PERFIS_ESPECIAIS;AMOSTRA_LATERAL;SISMICA;TABELA_TEMPO_PROFUNDIDADE;DADOS_DIRECIONAIS;TESTE_A_CABO;TESTE_DE_FORMACAO;CANHONEIO;TESTEMUNHO;GEOQUIMICA;SIG_SONDA;NOM_SONDA;DHA_ATUALIZACAO
7-FAL-164D-ES;34270029559;Petrobras;7FAL164DES;ES;Espírito Santo; ;FAL;FAZENDA ALEGRE;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;01/03/2020;07/03/2020;11/07/2020;-19:00:14,259;-39:51:44,608;-19,00396083;-39,86239111;SIRGAS2000;Definitiva;Direcional;-882,27;897;897,1;MR;11,36;6,21;0;NM; ;Espírito Santo;Urucutuca; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ;Existe; ; ;EBS-08;EBS-08;02/01/2022
7-RO-115D-BA;20240029560;PetroRecôncavo;7RO115DBA;BA;Recôncavo; ;RO;REMANSO;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;02/03/2020;06/03/2020;25/03/2020;-12:29:18,940;-38:19:09,119;-12,48859444;-38,31919972;SIRGAS2000;Definitiva;Direcional;-1211,53;1304;1298;MR;44,79;39,61;0;NM; ;Santo Amaro;Água Grande; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe; ; ; ; ; ;PR-04;National Oilwell Varco - 750;02/01/2022
9-POL-45D-RJS;74281029543;Petro Rio O&G;POL-L;RJ;Campos; ;POL;POLVO;M;S;9;Especial;INDEFINIDO;PRODUZINDO;29/01/2020;14/02/2020;13/03/2020;-23:05:01,703;-40:59:43,410;-23,08380639;-40,99539167;SIRGAS2000;Definitiva;Direcional;-1542;3928;3928;MR;41,2;0;103;NM; ;Macaé;Quissamã; ;Existe; ;Existe;Existe; ;Existe; ;Existe; ; ; ; ;Existe; ; ; ; ; ;DEAL-1;DEAL-1;02/01/2022
8-BBG-4D-RJS;74316029558;Petrobras;8BBG4DRJS;RJ;Santos; ;BBG;BERBIGÃO;M;S;8;Injeção;INJEÇÃO DE ÁGUA;EM COMPLETAÇÃO;25/02/2020;07/07/2020;13/07/2020;-24:58:27,553;-42:41:04,599;-24,97432028;-42,68461083;SIRGAS2000;Definitiva;Direcional;5656;5744;5734,1;MR;28;0;2170;NM; ;Guaratiba;Barra Velha; ;Existe; ; ; ; ;Existe; ;Existe; ; ; ; ;Existe; ; ; ; ; ;SS-77;OCEAN VALOR;02/01/2022
7-MJ-95D-BA;20240029638;PetroRecôncavo;7MJ95DBA;BA;Recôncavo; ;MJ;MATA DE SÃO JOÃO;T;S;7;Desenvolvimento;ABANDONADO POR OBJETIVO FORA DE PREVISÃO;ABANDONADO PERMANENTEMENTE;13/10/2020;18/10/2020;22/10/2020;-12:30:20,511;-38:18:13,896;-12,5056975;-38,30386;SIRGAS2000;Definitiva;Direcional;-1193;1307;1306;MR;40,08;34,9;0;NM; ;Santo Amaro;Água Grande; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe; ; ; ; ; ;PR-04;National Oilwell Varco - 750;02/01/2022
7-GVP-3D-MA;50090029583;Eneva;7GVP3DMA;MA;Parnaíba;PN-T-67;GVP;GAVIÃO PRETO;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE GÁS NATURAL;ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO;12/04/2020;21/04/2020;28/04/2020;-04:36:14,145;-44:47:07,276;-4,603929167;-44,78535444;SIRGAS2000;Definitiva;Direcional;1290,6;1720;1720;MR;62;56;0;NM; ;Canindé;Poti; ;Existe; ; ;Existe;Existe; ; ; ; ; ; ; ;Existe; ; ; ; ; ;GREAT120 (TUS 120);GREAT - 120;02/01/2022
3-SHEL-32D-RJS;74316029564;Shell Brasil;GDM4;RJ;Santos;S_GATO_MAT; ; ;M;S;3;Extensão; ;ABANDONADO PERMANENTEMENTE;04/03/2020;28/03/2020;05/05/2020;-25:00:02,766;-43:01:03,489;-25,00076833;-43,01763583;SIRGAS2000;Definitiva;Direcional;5362;5468;5475;MR;25;0;2048;NM; ;Guaratiba;Barra Velha; ;Existe; ; ; ; ; ; ; ;Existe; ; ; ; ; ; ; ;Existe; ;NS-45;Brava Star;02/01/2022
1-IMET-27-ES;34270029562;Imetame Lagoa Parda;1-VID-1-ES;ES;Espírito Santo;ES-T-487; ; ;T;S;1;Pioneiro; ;ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO;28/02/2020;01/04/2020;06/04/2020;-19:14:34,346;-39:47:17,460;-19,24287389;-39,78818333;SIRGAS2000;Definitiva;Vertical;-1878,98;1890;1887;MR;8,02;3,02;0;NM; ;Barra Nova;São Mateus; ;Existe; ;Existe;Existe;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ; ; ; ;IME-01;IMETAME_ENERGIA_01;02/01/2022
7-FAL-166D-ES;34270029576;Petrobras;7FAL166DES;ES;Espírito Santo; ;FAL;FAZENDA ALEGRE;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;INJETANDO;27/03/2020;01/04/2020;13/09/2020;-19:00:15,739;-39:51:36,526;-19,00437194;-39,86014611;SIRGAS2000;Definitiva;Direcional;-885,23;925;925;MR;10,15;5;0;NM; ;Espírito Santo;Urucutuca; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ;Existe; ; ;EBS-08;EBS-08;02/01/2022
7-TVD-5D-RJS;74281029588;Petrobras;7TVD5DRJS;RJ;Campos; ;TVD;TARTARUGA VERDE;M;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;17/04/2020;25/05/2020;12/07/2020;-22:57:44,505;-40:42:35,677;-22,9623625;-40,70991028;SIRGAS2000;Definitiva;Direcional;-3069,6;3417;3417;MR;26;0;941;NM; ;Macaé;Quissamã; ;Existe; ; ; ;Existe;Existe; ;Existe; ; ; ; ;Existe; ; ; ; ; ;SS-73;GOLD STAR;02/01/2022
7-FAL-152D-ES;34270029508;Petrobras;7FAL152DES;ES;Espírito Santo; ;FAL;FAZENDA ALEGRE;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;FECHADO;02/12/2019;07/12/2019;13/04/2020;-19:00:22,910;-39:52:16,209;-19,00636389;-39,87116917;SIRGAS2000;Definitiva;Direcional;-881;913;913,2;MR;15,06;9,91;0;NM; ;Espírito Santo;Urucutuca; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ;Existe; ; ;EBS-08;EBS-08;02/01/2022
7-FAL-155D-ES;34270029524;Petrobras;7FAL155DES;ES;Espírito Santo; ;FAL;FAZENDA ALEGRE;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;27/12/2019;03/01/2020;21/03/2020;-19:00:16,480;-39:51:54,646;-19,00457778;-39,86517944;SIRGAS2000;Definitiva;Direcional;-882,98;895;894,5;MR;10,48;5,33;0;NM; ;Espírito Santo;Urucutuca; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ;Existe; ; ;EBS-08;EBS-08;02/01/2022
7-ET-1889-RN;72100029608;Petrobras;7ET1889RN;RN;Potiguar; ;ET;ESTREITO;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;12/06/2020;12/06/2020;11/07/2020;-05:22:36,130;-36:48:06,542;-5,376702778;-36,80181722;SIRGAS2000;Definitiva;Vertical;302;302;302;MR;36,54;31,54;0;NM; ;Apodi;Açu; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ; ; ; ;EBS-05;EBS-05;02/01/2022
7-GVP-7D-MA;50090029561;Eneva;7GVP7DMA;MA;Parnaíba;PN-T-67;GVP;GAVIÃO PRETO;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE GÁS NATURAL;ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO;02/03/2020;09/03/2020;12/03/2020;-04:37:53,842;-44:46:30,848;-4,631622778;-44,77523556;SIRGAS2000;Definitiva;Direcional;1310,6;1769;1767,4;MR;63;57;0;NM; ;Canindé;Poti; ;Existe; ; ;Existe;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ; ; ; ;GREAT120 (TUS 120);GREAT - 120;02/01/2022
4-ENV-14-MA;50090029626;Eneva;4ENVSWENV1MA;MA;Parnaíba;PN-T-103; ; ;T;S;4;Pioneiro Adjacente; ;ARRASADO;17/08/2020;21/08/2020;23/08/2020;-05:40:21,186;-43:33:49,587;-5,672551667;-43,56377417;SIRGAS2000;Definitiva;Vertical;1049,7;1230;1229,7;MR;174;180;0;NM; ;Canindé;Longá; ;Existe; ;Existe;Existe;Existe; ; ;Existe; ; ; ; ;Existe; ; ; ; ; ;GREAT120 (TUS 120);GREAT - 120;02/01/2022
7-BUZ-46D-RJS;74316029645;Petrobras;7BUZ46DRJS;RJ;Santos; ;BUZ;BÚZIOS;M;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO;01/11/2020;30/11/2020;10/12/2020;-24:35:39,494;-42:31:56,819;-24,59430389;-42,53244972;SIRGAS2000;Definitiva;Direcional;-5709,56;5896;5896;MR;25;0;1914;NM; ;Guaratiba;Barra Velha; ;Existe; ; ; ;Existe;Existe; ;Existe; ;Existe; ; ;Existe; ; ; ; ; ;NS-38;ETESCO TAKATSUGU J;02/01/2022
9-MRO-9D-RJS;74316029578;Petrobras;9MRO9DRJS;RJ;Santos; ;MRO;MERO;M;S;9;Especial;ABANDONADO POR OUTRAS RAZÕES;ABANDONADO PERMANENTEMENTE;30/03/2020;20/06/2020;11/07/2020;-24:39:27,730;-42:13:10,000;-24,65770278;-42,21944444;SIRGAS2000;Definitiva;Direcional;-5500,2;5553;5560;MR;25;0;2049;NM; ;Guaratiba;Barra Velha; ;Existe; ; ; ; ;Existe; ;Existe; ; ; ; ;Existe; ; ; ; ; ;NS-39;Deepwater Myconos;02/01/2022
7-FAL-156D-ES;34270029519;Petrobras;7FAL156DES;ES;Espírito Santo; ;FAL;FAZENDA ALEGRE;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;INJETANDO;20/12/2019;25/12/2019;25/05/2020;-19:00:16,426;-39:51:53,619;-19,00456278;-39,86489417;SIRGAS2000;Definitiva;Direcional;-880,93;900;900;MR;10,51;5,36;0;NM; ;Espírito Santo;Urucutuca; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ;Existe; ; ;EBS-08;EBS-08;02/01/2022
8-SEP-4D-RJS;74316029531;Petrobras;8SEP4DRJS;RJ;Santos; ;SEP;SÉPIA;M;S;8;Injeção;INJEÇÃO DE GÁS NATURAL;EQUIPADO AGUARDANDO INÍCIO DE OPERAÇÃO;10/01/2020;14/02/2020;09/03/2020;-25:14:24,009;-42:33:14,131;-25,2400025;-42,55392528;SIRGAS2000;Definitiva;Direcional;-5586,4;5880;5880;MR;25;0;2138;NM; ;Guaratiba;Barra Velha; ;Existe; ; ; ;Existe;Existe; ;Existe; ;Existe; ; ;Existe;Existe; ; ; ; ;NS-32;NORBE VIII;02/01/2022
1-BRSA-1373B-SPS;86316029517;Petrobras;1SPS107B;SP;Santos;BLC_UIRAPR; ; ;M;S;1;Pioneiro; ;ABANDONADO PERMANENTEMENTE;16/12/2019;20/03/2020;15/04/2020;-25:06:26,338;-43:48:34,094;-25,10731611;-43,80947056;SIRGAS2000;Definitiva;Vertical;-59053;5933;5931;MR;25;0;1995;NM; ;Guaratiba;Barra Velha; ;Existe; ;Existe;Existe;Existe;Existe; ;Existe; ;Existe;Existe;Existe;Existe;Existe; ; ; ; ;NS-47;West Tellus;02/01/2022
7-GVP-8D-MA;50090029539;Eneva;7GVP8DMA;MA;Parnaíba;PN-T-67;GVP;GAVIÃO PRETO;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE GÁS NATURAL;ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO;27/01/2020;05/02/2020;08/02/2020;-04:41:20,384;-44:42:44,283;-4,688995556;-44,71230083;SIRGAS2000;Definitiva;Direcional;1342,2;1704;1705;MR;93;87;0;NM; ;Canindé;Poti; ;Existe; ; ;Existe;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ; ; ; ;GREAT120 (TUS 120);GREAT - 120;02/01/2022
7-FAL-143DA-ES;34270029522;Petrobras;7FAL143DAES;ES;Espírito Santo; ;FAL;FAZENDA ALEGRE;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;11/12/2019;16/12/2019;12/03/2020;-19:00:27,216;-39:52:07,666;-19,00756;-39,86879611;SIRGAS2000;Definitiva;Direcional;-877,31;891;890,7;MR;11,82;6,67;0;NM; ;Espírito Santo;Urucutuca; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ;Existe; ; ;EBS-08;EBS-08;02/01/2022
7-BUZ-36DA-RJS;74316029523;Petrobras;7BUZ36DARJS;RJ;Santos; ;BUZ;BÚZIOS;M;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;14/12/2019;08/02/2020;15/04/2020;-24:38:06,281;-42:26:40,646;-24,63507806;-42,44462389;SIRGAS2000;Definitiva;Direcional;-5689,75;5724,5;5724;MR;28;0;1929;NM; ;Guaratiba;Barra Velha; ;Existe; ; ; ;Existe;Existe; ;Existe; ; ; ; ;Existe;Existe; ; ; ; ;SS-75;OCEAN COURAGE;02/01/2022
8-MLS-238H-RJS;74281029567;Petrobras;8MLS238HRJS;RJ;Campos; ;MLS;MARLIM SUL;M;S;8;Injeção;INJEÇÃO DE ÁGUA;EM COMPLETAÇÃO;10/03/2020;05/05/2020;30/06/2020;-22:37:19,190;-40:03:52,675;-22,62199722;-40,06463194;SIRGAS2000;Definitiva;Horizontal;2870,5;4296;4296;MR;24;0;1268;NM; ;Campos;Carapebus; ;Existe; ; ; ;Existe;Existe; ;Existe; ; ; ; ;Existe; ; ; ; ; ;NS-32;NORBE VIII;02/01/2022
8-LL-118D-RJS;74316029530;Petrobras;8LL118DRJS;RJ;Santos; ;TUP;TUPI;M;S;8;Injeção;INJEÇÃO DE ÁGUA;EM COMPLETAÇÃO;11/01/2020;20/04/2020;05/05/2020;-25:21:36,209;-42:39:00,763;-25,36005806;-42,65021194;SIRGAS2000;Definitiva;Direcional;-5355,7;5511;5513;MR;26;0;2113;NM; ;Guaratiba;Barra Velha; ;Existe; ; ; ;Existe;Existe; ;Existe; ; ; ; ;Existe;Existe; ; ; ; ;NS-44;LAGUNA STAR;02/01/2022
7-FAL-157D-ES;34270029526;Petrobras;7FAL157DES;ES;Espírito Santo; ;FAL;FAZENDA ALEGRE;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;07/01/2020;12/01/2020;18/04/2020;-19:00:16,265;-39:51:50,550;-19,00451806;-39,86404167;SIRGAS2000;Definitiva;Direcional;-876,95;904;902,1;MR;10,46;5,31;0;NM; ;Espírito Santo;Urucutuca; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ;Existe; ; ;EBS-08;EBS-08;02/01/2022
9-BUZ-39D-RJS;74316029532;Petrobras;9BUZ39DRJS;RJ;Santos; ;BUZ;BÚZIOS;M;S;9;Especial;ABANDONADO POR OUTRAS RAZÕES;ABANDONADO PERMANENTEMENTE;20/01/2020;29/01/2020;07/02/2020;-24:43:28,279;-42:20:40,025;-24,72452194;-42,34445139;SIRGAS2000;Definitiva;Direcional;-3091;3124;3124;MR;32;0;2106;NM; ;Guaratiba;Itapema; ;Existe; ; ; ; ;Existe; ;Existe; ; ; ; ;Existe; ; ; ; ; ;NS-41;ODN I;02/01/2022
7-FAL-158D-ES;34270029529;Petrobras;7FAL158DES;ES;Espírito Santo; ;FAL;FAZENDA ALEGRE;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;15/01/2020;20/01/2020;21/06/2020;-19:00:16,213;-39:51:49,525;-19,00450361;-39,86375694;SIRGAS2000;Definitiva;Direcional;-879,58;902;900,4;MR;10,4;5,25;0;NM; ;Espírito Santo;Urucutuca; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ;Existe; ; ;EBS-08;EBS-08;02/01/2022
7-GVP-2D-MA;50090029575;Eneva;7GVP2DMA;MA;Parnaíba;PN-T-67;GVP;GAVIÃO PRETO;T;S;7;Desenvolvimento;PORTADOR DE GÁS NATURAL;ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO;25/03/2020;05/04/2020;11/04/2020;-04:36:14,120;-44:47:07,469;-4,603922222;-44,78540806;SIRGAS2000;Definitiva;Direcional;1258,4;1707;1707;MR;62;56;0;NM; ;Canindé;Poti; ;Existe; ; ;Existe;Existe; ; ; ; ; ; ; ;Existe; ; ; ; ; ;GREAT120 (TUS 120);GREAT - 120;02/01/2022
7-GVP-4D-MA;50090029554;Eneva;7GVP4DMA;MA;Parnaíba;PN-T-67;GVP;GAVIÃO PRETO;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE GÁS NATURAL;ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO;20/02/2020;27/02/2020;29/02/2020;-04:37:53,833;-44:46:31,042;-4,631620278;-44,77528944;SIRGAS2000;Definitiva;Direcional;1324,8;1746;1746,5;MR;63;57;0;NM; ;Canindé;Poti; ;Existe; ; ;Existe; ; ; ;Existe; ; ; ; ;Existe;Existe; ; ; ; ;GREAT120 (TUS 120);GREAT - 120;02/01/2022
7-GMS-10-RN;72100029577;Petrobras;7GMS10RN;RN;Potiguar;GMR;GMR;GUAMARÉ;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;26/03/2020;01/04/2020;03/04/2020;-05:12:35,436;-36:26:41,788;-5,209843333;-36,44494111;SIRGAS2000;Definitiva;Vertical;589,2;590;589,2;MR;41,27;36,27;0;NM; ;Apodi;Açu; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe;Existe; ; ; ; ;EBS-05;EBS-05;02/01/2022
7-GMS-7-RN;72100029533;Petrobras;7GMS7RN;RN;Potiguar;GMR;GMR;GUAMARÉ;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;20/01/2020;02/02/2020;16/02/2020;-05:12:39,012;-36:26:28,404;-5,210836667;-36,44122333;SIRGAS2000;Definitiva;Vertical;588,8;594;588,8;MR;45,11;40,16;0;NM; ;Apodi;Açu; ;Existe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;EBS-05;EBS-05;02/01/2022
7-GMS-8-RN;72100029544;Petrobras;7GMS8RN;RN;Potiguar;GMR;GMR;GUAMARÉ;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;04/02/2020;12/02/2020;01/03/2020;-05:12:37,625;-36:26:32,793;-5,210451389;-36,4424425;SIRGAS2000;Definitiva;Vertical;585,3;586;585,3;MR;44,5;39,55;0;NM; ;Apodi;Açu; ;Existe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;EBS-05;EBS-05;02/01/2022
7-GMS-9-RN;72100029550;Petrobras;7GMS9RN;RN;Potiguar;GMR;GMR;GUAMARÉ;T;S;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;14/02/2020;21/02/2020;02/03/2020;-05:12:36,211;-36:26:37,150;-5,210058611;-36,44365278;SIRGAS2000;Definitiva;Vertical;586,6;587;586,6;MR;43,26;38,26;0;NM; ;Apodi;Açu; ;Existe; ; ; ;Existe; ; ;Existe; ; ; ; ;Existe; ; ; ; ; ;EBS-05;EBS-05;02/01/2022
3-ENV-12D-MA;50090029610;Eneva;3ENVSEENV6DMA;MA;Parnaíba;PN-T-48; ; ;T;S;3;Extensão; ;ARRASADO;03/07/2020;16/07/2020;22/07/2020;-04:10:15,004;-45:25:27,691;-4,170834444;-45,42435861;SIRGAS2000;Definitiva;Direcional;2418,1;2525;2527,7;MR;65;59;0;NM; ;Canindé;Itaim; ;Existe; ; ;Existe;Existe; ; ;Existe; ;Existe; ; ;Existe;Existe; ; ; ; ;GREAT120 (TUS 120);GREAT - 120;02/01/2022
